"","religpew","pew_bornagain","pid7","race"
"940",5,2,1,1
"941",10,2,1,8
"942",1,1,7,1
"943",11,2,2,1
"944",2,2,1,7
"945",11,2,4,1
"946",9,2,1,1
"947",9,2,4,1
"948",1,1,4,1
"949",12,2,1,1
"950",7,1,4,1
"951",1,1,4,1
"952",1,2,7,1
"953",1,2,2,1
"954",1,1,1,1
"955",2,2,6,1
"956",1,1,2,1
"957",1,1,7,1
"958",1,1,4,1
"959",1,1,1,1
"960",12,2,4,1
"961",1,1,1,1
"962",5,2,6,1
"963",1,1,8,1
"964",1,2,2,1
"965",1,2,7,1
"966",1,1,1,2
"967",11,1,4,1
"968",2,2,7,1
"969",11,2,7,1
"970",11,2,4,1
"971",12,2,7,1
"972",10,2,1,1
"973",12,2,7,1
"974",2,2,5,7
"975",1,2,4,1
"976",2,2,8,1
"977",1,2,6,1
"978",1,1,6,1
"979",1,1,3,1
"980",1,1,7,1
"981",2,2,4,1
"982",5,2,1,1
"983",10,2,1,1
"984",1,1,7,1
"985",1,1,6,1
"986",10,2,1,1
"987",5,2,1,1
"988",11,2,5,6
"989",3,2,1,1
"990",1,1,5,1
"991",2,2,5,1
"992",10,2,3,1
"993",1,1,3,2
"994",1,1,8,1
"995",12,2,1,1
"996",10,2,2,2
"997",10,2,1,1
"998",9,2,3,1
"999",1,1,7,1
"1000",1,1,7,1
"1001",2,2,1,1
"1002",11,2,4,1
"1003",1,1,4,1
"1004",5,2,1,7
"1005",2,2,1,1
"1006",1,2,3,1
"1007",11,2,3,1
"1008",1,2,5,1
"1009",1,1,6,1
"1010",11,1,7,1
"1011",9,2,3,3
"1012",9,2,1,1
"1013",10,2,7,1
"1014",11,2,1,1
"1015",2,2,3,1
"1016",11,2,4,6
"1017",11,2,3,2
"1018",11,1,4,3
"1019",1,2,2,1
"1020",12,1,4,1
"1021",10,2,3,1
"1022",2,2,7,1
"1023",1,2,2,1
"1024",1,1,6,1
"1025",1,2,1,1
"1026",1,1,1,1
"1027",1,2,2,2
"1028",12,2,6,4
"1029",1,2,5,1
"1030",2,2,2,1
"1031",1,1,6,1
"1032",2,2,6,1
"1033",2,1,4,1
"1034",11,2,2,1
"1035",1,2,2,2
"1036",12,1,4,2
"1037",10,2,3,1
"1038",4,2,7,1
"1039",1,2,1,2
"1040",12,2,2,4
"1041",1,2,5,6
"1042",1,2,7,1
"1043",9,2,1,1
"1044",2,2,1,1
"1045",11,2,2,2
"1046",12,2,5,7
"1047",2,2,2,1
"1048",9,2,1,1
"1049",1,2,4,6
"1050",1,1,2,1
"1051",11,2,1,2
"1052",11,2,3,1
"1053",11,2,3,2
"1054",1,2,4,1
"1055",11,2,2,1
"1056",1,2,4,1
"1057",1,1,7,1
"1058",12,2,7,2
"1059",1,2,6,1
"1060",5,2,4,8
"1061",9,2,1,1
"1062",2,2,3,1
"1063",10,2,3,1
"1064",12,1,1,2
"1065",1,1,3,1
"1066",1,2,4,1
"1067",11,2,1,1
"1068",1,1,4,1
"1069",1,1,5,1
"1070",9,2,3,1
"1071",1,1,4,1
"1072",1,2,1,1
"1073",2,2,2,1
"1074",10,2,6,1
"1075",9,2,4,1
"1076",8,1,1,4
"1077",1,1,5,1
"1078",10,2,4,2
"1079",9,2,1,1
"1080",11,2,4,1
"1081",1,1,7,1
"1082",1,1,2,1
"1083",1,1,3,1
"1084",1,1,3,7
"1085",11,2,7,1
"1086",2,2,7,1
"1087",9,2,4,1
"1088",2,2,2,1
"1089",1,1,1,2
"1090",1,1,6,1
"1091",1,1,5,1
"1092",10,2,3,1
"1093",1,1,7,1
"1094",2,2,1,1
"1095",9,2,2,1
"1096",1,1,1,1
"1097",1,2,4,1
"1098",1,2,1,1
"1099",1,1,1,1
"1100",11,1,7,1
"1101",1,2,6,1
"1102",1,2,7,1
"1103",1,2,1,1
"1104",4,2,4,1
