"","religpew","pew_bornagain","pid7","race","inputstate","ideo5"
"734",3,2,7,1,15,5
"735",9,2,3,1,51,1
"736",2,1,7,1,41,5
"737",2,2,1,4,33,1
"738",9,2,4,3,6,3
"739",1,2,1,1,24,3
"740",1,2,5,1,47,5
"741",1,1,6,1,48,3
"742",1,1,3,1,22,3
"743",1,2,1,1,19,2
"744",11,2,1,1,37,2
"745",11,1,2,1,37,6
"746",9,2,1,1,6,2
"747",11,2,4,5,6,1
"748",11,2,1,2,55,3
"749",1,2,1,2,12,1
"750",1,1,1,4,48,1
"751",9,2,4,1,48,6
"752",12,2,5,1,25,3
"753",2,2,4,1,4,6
"754",2,2,7,1,42,4
"755",1,1,7,1,20,4
"756",2,2,7,5,25,4
"757",2,2,7,1,42,3
"758",1,1,8,1,26,3
"759",1,1,5,1,24,3
"760",1,2,1,1,18,2
"761",1,1,6,3,36,3
"762",1,2,7,1,21,4
"763",11,2,1,1,4,2
"764",1,1,7,1,51,4
"765",2,2,1,2,48,2
"766",2,2,2,1,32,2
"767",2,2,8,1,25,3
"768",1,1,5,1,26,4
"769",1,2,7,1,6,4
"770",9,2,3,1,32,1
"771",12,2,6,1,51,6
"772",10,2,3,1,37,1
"773",11,2,1,1,42,2
"774",11,2,4,1,36,2
"775",9,2,3,1,18,2
"776",9,2,1,1,6,2
"777",2,1,2,3,27,6
"778",2,2,5,1,45,3
"779",11,2,2,1,36,2
"780",1,2,2,1,32,3
"781",12,2,3,2,36,3
"782",2,2,1,1,39,3
"783",2,2,1,3,48,3
"784",1,1,4,1,41,5
"785",11,2,4,1,20,6
"786",1,2,7,1,48,3
"787",1,2,8,1,39,3
"788",1,2,5,1,4,3
"789",2,2,5,1,12,3
"790",1,2,3,1,36,2
"791",1,1,6,1,48,4
"792",12,2,1,2,45,1
"793",1,2,3,1,13,2
"794",11,2,1,1,51,2
"795",2,2,2,3,6,3
"796",1,1,5,1,12,4
"797",2,2,1,2,11,1
"798",2,2,4,1,24,3
"799",11,2,6,1,6,4
"800",1,1,7,1,41,4
"801",1,1,5,1,53,4
"802",1,1,1,2,36,2
"803",4,1,1,1,36,3
"804",9,2,1,1,55,1
"805",12,2,1,1,53,2
"806",12,2,4,7,29,3
"807",10,2,2,1,56,3
"808",2,2,1,1,12,2
"809",1,2,2,1,32,3
"810",1,2,3,1,48,3
"811",3,2,6,1,49,4
"812",2,2,3,1,27,2
"813",1,2,2,1,12,3
"814",11,2,1,1,6,3
"815",12,2,1,1,23,2
"816",12,2,4,7,6,2
"817",11,2,7,1,41,5
"818",6,2,1,2,17,3
"819",1,2,1,1,22,2
"820",11,2,8,1,54,6
"821",1,1,4,1,5,4
"822",11,2,1,1,13,2
"823",10,2,1,1,17,1
"824",2,2,7,1,20,4
"825",9,2,3,6,6,2
"826",1,1,5,1,12,3
"827",5,2,7,1,4,4
"828",1,2,3,2,12,1
"829",9,2,1,1,49,3
"830",10,2,3,1,51,1
"831",1,2,3,1,27,4
"832",11,2,4,1,39,3
"833",12,2,1,1,48,2
"834",7,2,3,1,55,3
"835",11,2,2,1,17,3
"836",1,1,2,1,21,3
"837",1,1,1,1,18,1
"838",9,2,1,1,42,1
"839",11,2,5,1,25,4
"840",11,2,3,1,12,1
"841",1,1,6,1,18,6
"842",1,1,7,3,6,5
"843",11,1,2,1,37,6
"844",12,1,7,1,6,4
"845",9,2,3,1,55,1
"846",1,1,3,1,12,4
"847",1,2,5,1,9,4
"848",11,2,4,1,48,3
"849",1,1,2,1,54,3
"850",12,2,4,1,41,4
"851",11,2,6,1,39,6
"852",11,2,7,1,6,4
"853",2,2,7,1,22,4
"854",12,2,3,1,4,3
"855",9,2,1,1,45,2
"856",2,2,4,1,27,4
"857",11,2,5,1,42,3
"858",1,2,4,1,19,3
"859",7,2,4,1,37,1
"860",11,2,1,1,29,1
"861",1,2,2,1,48,2
"862",5,2,4,1,12,4
"863",2,2,5,1,55,4
"864",11,2,3,1,51,1
"865",6,2,3,2,25,3
"866",12,1,1,1,40,2
"867",5,2,1,1,9,3
"868",1,1,7,7,42,4
"869",1,1,7,1,48,4
"870",10,2,2,2,12,2
"871",4,2,5,1,6,4
"872",1,2,3,1,42,3
"873",2,1,4,3,25,3
"874",9,2,5,1,25,2
"875",2,2,6,1,8,4
"876",2,2,1,1,12,3
"877",7,2,3,1,6,1
"878",11,2,3,1,12,3
"879",9,2,1,1,39,2
"880",1,1,3,1,4,2
"881",11,2,1,1,12,2
"882",11,2,3,1,13,1
"883",2,2,5,1,44,3
"884",1,1,1,2,12,2
"885",1,1,4,2,47,4
"886",3,2,5,1,35,4
"887",1,2,1,1,21,2
"888",5,2,8,1,36,3
"889",1,2,4,1,47,4
"890",1,1,2,2,26,4
"891",2,2,1,3,4,3
"892",1,1,4,1,32,3
"893",2,2,8,1,36,5
"894",11,1,5,7,47,4
"895",1,2,4,1,37,3
"896",3,2,5,1,49,4
"897",1,2,1,1,55,4
"898",1,1,7,1,8,4
"899",1,1,5,1,45,4
"900",1,2,1,2,37,3
"901",11,2,2,1,18,2
"902",3,1,8,1,49,2
"903",12,2,3,1,54,3
"904",5,2,1,1,36,2
"905",2,2,6,1,55,4
"906",2,1,2,1,20,3
"907",5,2,1,1,37,2
"908",1,1,4,6,48,3
"909",2,2,6,1,39,4
"910",11,2,1,1,51,1
"911",2,2,2,1,21,2
"912",1,1,6,1,55,4
"913",2,2,7,1,12,4
"914",1,2,3,1,12,1
"915",1,1,8,1,47,3
"916",12,2,5,1,36,3
"917",9,2,3,1,45,2
"918",11,2,4,1,36,6
"919",1,1,6,1,42,3
"920",1,2,5,1,21,4
"921",1,2,1,1,9,1
"922",2,2,4,1,8,4
"923",9,2,4,1,13,3
"924",1,1,5,2,26,4
"925",11,2,1,2,51,2
