"","evangelical","inputstate","pew_churatd"
"873",0,25,1
"874",0,25,6
"875",0,8,6
"876",0,12,5
"877",0,6,4
"878",0,12,5
"879",0,39,6
"880",0,4,6
"881",1,12,5
"882",0,13,6
"883",0,44,5
"884",1,12,2
"885",1,47,1
"886",0,35,4
"887",0,21,5
"888",0,36,5
"889",1,47,6
"890",1,26,2
"891",0,4,4
"892",1,32,5
"893",0,36,2
"894",1,47,5
"895",1,37,5
"896",0,49,3
"897",1,55,5
"898",1,8,2
"899",1,45,1
"900",1,37,2
"901",1,18,6
"902",0,49,5
"903",0,54,1
"904",0,36,3
"905",1,55,4
"906",0,20,1
"907",0,37,5
"908",1,48,3
"909",0,39,3
"910",0,51,6
"911",0,21,2
"912",1,55,3
"913",0,12,6
"914",1,12,5
"915",0,47,4
"916",0,36,4
"917",0,45,5
"918",0,36,5
"919",1,42,2
"920",1,21,4
"921",0,9,4
"922",0,8,1
"923",0,13,6
"924",1,26,1
"925",0,51,3
"926",1,39,6
"927",0,45,4
"928",1,39,3
"929",1,4,4
"930",0,27,4
"931",1,6,3
"932",1,21,5
"933",0,6,5
"934",0,17,5
"935",0,48,6
"936",0,48,5
"937",0,39,2
"938",0,12,6
"939",0,36,3
"940",0,39,2
"941",0,55,3
"942",1,41,2
"943",0,26,6
"944",0,34,4
"945",1,25,5
"946",0,39,6
"947",0,12,6
"948",1,20,3
"949",0,35,3
"950",0,42,7
"951",1,33,3
"952",1,51,2
"953",1,33,5
"954",0,6,5
"955",0,12,6
"956",1,48,3
"957",1,42,1
"958",1,13,3
"959",1,48,4
"960",0,37,5
"961",0,6,2
"962",0,12,4
"963",1,39,2
"964",0,42,5
"965",0,42,4
"966",1,28,2
"967",1,45,4
"968",0,33,5
"969",0,6,6
"970",0,9,6
"971",1,26,1
"972",0,24,4
"973",0,15,5
"974",0,53,2
"975",0,13,4
"976",0,25,3
"977",1,37,5
"978",1,13,6
"979",0,48,1
"980",1,12,2
"981",0,48,1
"982",0,9,4
"983",1,8,6
"984",1,48,2
"985",1,51,5
"986",0,21,6
"987",0,6,4
"988",0,27,6
